2022-15-09 06:15:23.250  INFO 20976 --- [           main] application                              : Autoreload is disabled because the development mode is off.
2022-15-09 06:15:23.666  INFO 20976 --- [           main] application                              : Application auto-reloaded in 0.413 seconds.
2022-15-09 06:15:23.672 DEBUG 20976 --- [           main] InternalLoggerFactory                    : Using SLF4J as the default logging framework
2022-15-09 06:15:23.697 DEBUG 20976 --- [           main] PlatformDependent0                       : -Dio.netty.noUnsafe: false
2022-15-09 06:15:23.697 DEBUG 20976 --- [           main] PlatformDependent0                       : Java version: 17
2022-15-09 06:15:23.698 DEBUG 20976 --- [           main] PlatformDependent0                       : sun.misc.Unsafe.theUnsafe: available
2022-15-09 06:15:23.699 DEBUG 20976 --- [           main] PlatformDependent0                       : sun.misc.Unsafe.copyMemory: available
2022-15-09 06:15:23.699 DEBUG 20976 --- [           main] PlatformDependent0                       : java.nio.Buffer.address: available
2022-15-09 06:15:23.700 DEBUG 20976 --- [           main] PlatformDependent0                       : direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
2022-15-09 06:15:23.700 DEBUG 20976 --- [           main] PlatformDependent0                       : java.nio.Bits.unaligned: available, true
2022-15-09 06:15:23.701 DEBUG 20976 --- [           main] PlatformDependent0                       : jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$6 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @47542153
2022-15-09 06:15:23.702 DEBUG 20976 --- [           main] PlatformDependent0                       : java.nio.DirectByteBuffer.<init>(long, int): unavailable
2022-15-09 06:15:23.702 DEBUG 20976 --- [           main] PlatformDependent                        : sun.misc.Unsafe: available
2022-15-09 06:15:23.703 DEBUG 20976 --- [           main] PlatformDependent                        : maxDirectMemory: 17171480576 bytes (maybe)
2022-15-09 06:15:23.703 DEBUG 20976 --- [           main] PlatformDependent                        : -Dio.netty.tmpdir: R:\Temp (java.io.tmpdir)
2022-15-09 06:15:23.704 DEBUG 20976 --- [           main] PlatformDependent                        : -Dio.netty.bitMode: 64 (sun.arch.data.model)
2022-15-09 06:15:23.704 DEBUG 20976 --- [           main] PlatformDependent                        : Platform: Windows
2022-15-09 06:15:23.705 DEBUG 20976 --- [           main] PlatformDependent                        : -Dio.netty.maxDirectMemory: -1 bytes
